"site_short","netNr","julian_day","nSpec"
"BB-A1-23","1",22,0
"BB-A1-23","1",23,4
"BB-A1-23","1",24,0
"BB-A1-23","1",25,4
"BB-A1-23","1",26,2
"BB-A1-23","1",27,6
"BB-A1-23","1",28,5
"BB-A1-23","10",22,1
"BB-A1-23","10",23,2
"BB-A1-23","10",24,1
"BB-A1-23","10",25,1
"BB-A1-23","10",26,0
"BB-A1-23","10",27,3
"BB-A1-23","10",28,1
"BB-A1-23","2",22,1
"BB-A1-23","2",23,3
"BB-A1-23","2",24,2
"BB-A1-23","2",25,6
"BB-A1-23","2",26,1
"BB-A1-23","2",27,6
"BB-A1-23","2",28,3
"BB-A1-23","3",22,0
"BB-A1-23","3",23,1
"BB-A1-23","3",24,2
"BB-A1-23","3",25,6
"BB-A1-23","3",26,3
"BB-A1-23","3",27,5
"BB-A1-23","3",28,2
"BB-A1-23","4",22,1
"BB-A1-23","4",23,1
"BB-A1-23","4",24,1
"BB-A1-23","4",25,1
"BB-A1-23","4",26,1
"BB-A1-23","4",27,4
"BB-A1-23","4",28,2
"BB-A1-23","5",22,0
"BB-A1-23","5",23,3
"BB-A1-23","5",24,0
"BB-A1-23","5",25,1
"BB-A1-23","5",26,1
"BB-A1-23","5",27,4
"BB-A1-23","5",28,1
"BB-A1-23","6",22,0
"BB-A1-23","6",23,0
"BB-A1-23","6",24,0
"BB-A1-23","6",25,2
"BB-A1-23","6",26,0
"BB-A1-23","6",27,2
"BB-A1-23","6",28,1
"BB-A1-23","7",22,0
"BB-A1-23","7",23,0
"BB-A1-23","7",24,0
"BB-A1-23","7",25,1
"BB-A1-23","7",26,1
"BB-A1-23","7",27,0
"BB-A1-23","7",28,1
"BB-A1-23","8",22,0
"BB-A1-23","8",23,1
"BB-A1-23","8",24,1
"BB-A1-23","8",25,4
"BB-A1-23","8",26,2
"BB-A1-23","8",27,0
"BB-A1-23","8",28,1
"BB-A1-23","9",22,1
"BB-A1-23","9",23,4
"BB-A1-23","9",24,0
"BB-A1-23","9",25,3
"BB-A1-23","9",26,0
"BB-A1-23","9",27,3
"BB-A1-23","9",28,2
"BB-A2-23","1",22,0
"BB-A2-23","1",23,0
"BB-A2-23","1",24,0
"BB-A2-23","1",25,0
"BB-A2-23","1",26,3
"BB-A2-23","1",27,0
"BB-A2-23","1",28,1
"BB-A2-23","10",22,1
"BB-A2-23","10",23,2
"BB-A2-23","10",24,1
"BB-A2-23","10",25,1
"BB-A2-23","10",26,0
"BB-A2-23","10",27,0
"BB-A2-23","10",28,1
"BB-A2-23","2",22,0
"BB-A2-23","2",23,1
"BB-A2-23","2",24,0
"BB-A2-23","2",25,3
"BB-A2-23","2",26,1
"BB-A2-23","2",27,1
"BB-A2-23","2",28,1
"BB-A2-23","3",22,0
"BB-A2-23","3",23,1
"BB-A2-23","3",24,0
"BB-A2-23","3",25,0
"BB-A2-23","3",26,0
"BB-A2-23","3",27,0
"BB-A2-23","3",28,2
"BB-A2-23","4",22,0
"BB-A2-23","4",23,2
"BB-A2-23","4",24,1
"BB-A2-23","4",25,1
"BB-A2-23","4",26,0
"BB-A2-23","4",27,0
"BB-A2-23","4",28,1
"BB-A2-23","5",22,0
"BB-A2-23","5",23,0
"BB-A2-23","5",24,0
"BB-A2-23","5",25,1
"BB-A2-23","5",26,0
"BB-A2-23","5",27,1
"BB-A2-23","5",28,1
"BB-A2-23","6",22,0
"BB-A2-23","6",23,1
"BB-A2-23","6",24,1
"BB-A2-23","6",25,0
"BB-A2-23","6",26,0
