"site_short","site_sum","netNr","decade","effort","year","distance_m","maize_1000m","woodS_1000m","grassS_1000m","settlement_1000m","maize_750m","woodS_750m","grassS_750m","settlement_750m","maize_500m","woodS_500m","grassS_500m","settlement_500m","maize_250m","woodS_250m","grassS_250m","settlement_250m","maize_100m","woodS_100m","grassS_100m","settlement_100m","prop_weed","Hoehe_cm","lon","lat","julian_day"
"BB-A1-23","BB-AA","1",22,150,2023,13.6,30.45,5.2,6.96,0,26.25,1.89,11.4,0,31.03,2.18,5.14,0,35.14,2.75,0.24,0,52.09,4.92,0,0,80,210,14.3610383,52.5075921,22
"BB-A1-23","BB-AA","1",23,200,2023,13.6,30.45,5.2,6.96,0,26.25,1.89,11.4,0,31.03,2.18,5.14,0,35.14,2.75,0.24,0,52.09,4.92,0,0,72.5,215,14.3610383,52.5075921,23
"BB-A1-23","BB-AA","1",24,199.583333333333,2023,13.6,30.45,5.2,6.96,0,26.25,1.89,11.4,0,31.03,2.18,5.14,0,35.14,2.75,0.24,0,52.09,4.92,0,0,65,220,14.3610383,52.5075921,24
"BB-A1-23","BB-AA","1",25,299.166666666667,2023,13.6,30.45,5.2,6.96,0,26.25,1.89,11.4,0,31.03,2.18,5.14,0,35.14,2.75,0.24,0,52.09,4.92,0,0,50,210,14.3610383,52.5075921,25
"BB-A1-23","BB-AA","1",26,299.166666666667,2023,13.6,30.45,5.2,6.96,0,26.25,1.89,11.4,0,31.03,2.18,5.14,0,35.14,2.75,0.24,0,52.09,4.92,0,0,45,215,14.3610383,52.5075921,26
"BB-A1-23","BB-AA","1",27,200,2023,13.6,30.45,5.2,6.96,0,26.25,1.89,11.4,0,31.03,2.18,5.14,0,35.14,2.75,0.24,0,52.09,4.92,0,0,60,215,14.3610383,52.5075921,27
"BB-A1-23","BB-AA","1",28,174.166666666667,2023,13.6,30.45,5.2,6.96,0,26.25,1.89,11.4,0,31.03,2.18,5.14,0,35.14,2.75,0.24,0,52.09,4.92,0,0,45,210,14.3610383,52.5075921,28
"BB-A1-23","BB-AA","10",22,150,2023,32.2,34.15,4.48,6.89,0,32.36,2.51,11.6,0,41.42,2.33,6.19,0,51.89,4.13,0,0,69.04,4.77,0,0,70,250,14.35941957,52.50719632,22
"BB-A1-23","BB-AA","10",23,200,2023,32.2,34.15,4.48,6.89,0,32.36,2.51,11.6,0,41.42,2.33,6.19,0,51.89,4.13,0,0,69.04,4.77,0,0,70,242.5,14.35941957,52.50719632,23
"BB-A1-23","BB-AA","10",24,199.583333333333,2023,32.2,34.15,4.48,6.89,0,32.36,2.51,11.6,0,41.42,2.33,6.19,0,51.89,4.13,0,0,69.04,4.77,0,0,70,235,14.35941957,52.50719632,24
"BB-A1-23","BB-AA","10",25,299.166666666667,2023,32.2,34.15,4.48,6.89,0,32.36,2.51,11.6,0,41.42,2.33,6.19,0,51.89,4.13,0,0,69.04,4.77,0,0,50,230,14.35941957,52.50719632,25
"BB-A1-23","BB-AA","10",26,299.166666666667,2023,32.2,34.15,4.48,6.89,0,32.36,2.51,11.6,0,41.42,2.33,6.19,0,51.89,4.13,0,0,69.04,4.77,0,0,50,240,14.35941957,52.50719632,26
"BB-A1-23","BB-AA","10",27,200,2023,32.2,34.15,4.48,6.89,0,32.36,2.51,11.6,0,41.42,2.33,6.19,0,51.89,4.13,0,0,69.04,4.77,0,0,45,240,14.35941957,52.50719632,27
"BB-A1-23","BB-AA","10",28,174.166666666667,2023,32.2,34.15,4.48,6.89,0,32.36,2.51,11.6,0,41.42,2.33,6.19,0,51.89,4.13,0,0,69.04,4.77,0,0,55,250,14.35941957,52.50719632,28
"BB-A1-23","BB-AA","2",22,150,2023,14.6,30.48,5.3,6.96,0,26.31,2,11.26,0,31.17,2.19,4.72,0,34.15,2.81,0.26,0,49.89,5.36,0,0,70,220,14.36103853,52.50751099,22
