ID,Order,Family,species_sci,species,species_eng,Habitat,Nest_site,Diet,Insectivores,Wintering,Migration,Temperature_pref,Habitat_breadth,Diet_breadth,RedList_DE,RedList_EUROPE
73,Caprimulgiformes,Apodidae,Apus apus,Mauersegler,Common Swift,settlement,buildings,insectivorous,insect. other,Sub-Sahel,long-distance,interquartile,broad,narrow,,NT
319,Passeriformes,Hirundinidae,Delichon urbicum,Mehlschwalbe,Northern House Martin,settlement,buildings,insectivorous,insect. other,Afrotropics_indiff,long-distance,interquartile,broad,narrow,3,LC
320,Passeriformes,Hirundinidae,Hirundo rustica,Rauchschwalbe,Barn Swallow,settlement,buildings,insectivorous,insect. other,Afrotropics_indiff,long-distance,interquartile,broad,narrow,4,LC
82,Columbiformes,Columbidae,Columba livia,Felsentaube,Feral Pigeon,settlement,buildings,granivorous,no,Germany,resident,NA,NA,NA,,LC
383,Passeriformes,Passeridae,Passer domesticus,Haussperling,House Sparrow,settlement,buildings,granivorous,no,Germany,resident,interquartile,broad,narrow,,LC
105,Falconiformes,Falconidae,Falco tinnunculus,Turmfalke,Common Kestrel,farmland,buildings,carnivorous,no,W-Westpalearctic,short-distance,interquartile,broad,narrow,,LC
341,Passeriformes,Motacillidae,Motacilla alba,Bachstelze,White Wagtail,settlement,buildings,insectivorous,insect. other,W-Mediterranean,short-distance,interquartile,broad,narrow,,LC
267,Passeriformes,Corvidae,Corvus monedula,Dohle,Eurasian Jackdaw,settlement,buildings,invertebrates,no,W-Westpalearctic,short-distance,upper quartile,broad,broad,,LC
366,Passeriformes,Muscicapidae,Phoenicurus ochruros,Hausrotschwanz,Black Redstart,settlement,buildings,insectivorous,insect. other,W-Mediterranean,short-distance,upper quartile,broad,broad,,LC
344,Passeriformes,Motacillidae,Motacilla flava,(Wiesen)Schafstelze,Yellow Wagtail,farmland,ground-level,insectivorous,insect. farmland,Sahel-Sudan,long-distance,interquartile,broad,narrow,,LC
368,Passeriformes,Muscicapidae,Saxicola rubetra,Braunkehlchen,Whinchat,farmland,ground-level,insectivorous,insect. farmland,Afrotropics_indiff,long-distance,lower quartile,narrow,narrow,2,LC
114,Galiiformes,Phasianidae,Coturnix coturnix,Wachtel,Common Quail,farmland,ground-level,insectivorous,insect. farmland,Sahel-Sudan,long-distance,upper quartile,narrow,broad,4,NT
340,Passeriformes,Motacillidae,Anthus trivialis,Baumpieper,Tree Pipit,forests,ground-level,insectivorous,insect. forest,Sahel-Sudan,long-distance,lower quartile,broad,narrow,4,LC
395,Passeriformes,Phylloscopidae,Phylloscopus trochilus,Fitis,Willow Warbler,forests,ground-level,insectivorous,insect. forest,Sub-Sahel,long-distance,lower quartile,broad,narrow,,LC
392,Passeriformes,Phylloscopidae,Phylloscopus sibilatrix,Waldlaubsänger,Wood Warbler,forests,ground-level,insectivorous,insect. forest,Sub-Sahel,long-distance,lower quartile,broad,narrow,,LC
331,Passeriformes,Locustellidae,Locustella naevia,Feldschwirl,Common Grasshopper Warbler,open,ground-level,insectivorous,insect. other,Sahel-Sudan,long-distance,interquartile,broad,narrow,2,LC
238,Passeriformes,Acrocephalidae,Acrocephalus palustris,Sumpfrohrsänger,Marsh Warbler,open,ground-level,insectivorous,insect. other,Sub-Sahel,long-distance,interquartile,broad,narrow,,LC
354,Passeriformes,Muscicapidae,Luscinia megarhynchos,Nachtigall,Common Nightingale,several,ground-level,insectivorous,insect. other,Sahel-Sudan,long-distance,upper quartile,broad,narrow,,LC
347,Passeriformes,Muscicapidae,Cyanecula svecica,Blaukehlchen,Bluethroat,wetlands,ground-level,insectivorous,insect. other,Sahel-Sudan,long-distance,,,,,LC
124,Galiiformes,Phasianidae,Phasianus colchicus,Jagdfasan,Common Pheasant,farmland,ground-level,herbivore,no,Germany,resident,interquartile,broad,broad,,LC
123,Galiiformes,Phasianidae,Perdix perdix,Rebhuhn,Grey Partridge,farmland,ground-level,omnivorous,no,Germany,resident,interquartile,narrow,narrow,2,LC
247,Passeriformes,Alaudidae,Alauda arvensis,Feldlerche,Eurasian Skylark,farmland,ground-level,insectivorous,insect. farmland,W-Westpalearctic,short-distance,interquartile,broad,broad,3,LC
282,Passeriformes,Emberizidae,Emberiza citrinella,Goldammer,Yellowhammer,farmland,ground-level,insectivorous,insect. farmland,W-Westpalearctic,short-distance,lower quartile,broad,broad,,LC
278,Passeriformes,Emberizidae,Emberiza calandra,Grauammer,Corn Bunting,farmland,ground-level,insectivorous,insect. farmland,W-Westpalearctic,short-distance,upper quartile,narrow,broad,4,LC
165,Charadriiformes,Charadriidae,Vanellus vanellus,Kiebitz,Northern Lapwing,farmland,ground-level,invertebrates,no,Atlantic,short-distance,lower quartile,narrow,narrow,2,VU
337,Passeriformes,Motacillidae,Anthus pratensis,Wiesenpieper,Meadow Pipit,farmland,ground-level,insectivorous,insect. farmland,W-Westpalearctic,short-distance,lower quartile,broad,narrow,2,LC
348,Passeriformes,Muscicapidae,Erithacus rubecula,Rotkehlchen,European Robin,forests,ground-level,insectivorous,insect. forest,W-Westpalearctic,short-distance,interquartile,broad,narrow,,LC
390,Passeriformes,Phylloscopidae,Phylloscopus collybita,Zilpzalp,Common Chiffchaff,forests,ground-level,insectivorous,insect. forest,W-Mediterranean,short-distance,interquartile,broad,narrow,,LC
369,Passeriformes,Muscicapidae,Saxicola rubicola,Schwarzkehlchen,Common Stonechat,open,ground-level,insectivorous,insect. other,W-Mediterranean,short-distance,upper quartile,narrow,narrow,,LC
255,Passeriformes,Alaudidae,Lullula arborea,Heidelerche,Woodlark,several,ground-level,insectivorous,insect. other,Atlantic,short-distance,upper quartile,broad,narrow,4,LC
304,Passeriformes,Fringillidae,Chloris chloris,Grünfink,European Greenfinch,settlement,indifferent,granivorous,no,W-Westpalearctic,short-distance,interquartile,broad,narrow,,LC
95,Cuculiformes,Cuculidae,Cuculus canorus,Kuckuck,Common Cuckoo,several,NA,insectivorous,insect. other,Sub-Sahel,long-distance,interquartile,broad,narrow,3,LC
234,Passeriformes,Acrocephalidae,Acrocephalus arundinaceus,Drosselrohrsänger,Great Reed Warbler,wetlands,reeds,invertebrates,no,Sub-Sahel,long-distance,,,,,LC
